,Year,Country,Latitude,Longitude,Total Deaths,Total Missing,Total Injuries,Total Damage ($Mil),Total Houses Destroyed,Total Houses Damaged
233,1979,NORWAY,65.117,12.333,0.0,0.0,0.0,,,
234,1979,FRANCE,43.7,7.25,9.0,0.0,0.0,,,
235,1979,FIJI,-16.76,179.984,0.0,0.0,0.0,,,
236,1979,COLOMBIA,1.598,-79.358,600.0,0.0,20000.0,8.0,10000.0,
237,1980,PORTUGAL,38.727,-27.75,69.0,0.0,600.0,5.0,15000.0,
238,1980,RUSSIA,43.53,146.753,0.0,0.0,0.0,,,
239,1980,USA,46.2,-122.18,61.0,0.0,0.0,,,
240,1980,PORTUGAL,39.374,-31.229,0.0,0.0,0.0,,,
241,1980,JAPAN,34.808,139.181,0.0,0.0,7.0,,,
242,1980,SOLOMON ISLANDS,-12.525,165.916,0.0,0.0,0.0,,,
243,1980,ALGERIA,36.195,1.354,5000.0,0.0,9000.0,5200.0,250000.0,
244,1981,JAPAN,38.64,142.75,0.0,0.0,0.0,,,
245,1981,GREECE,38.222,22.934,22.0,0.0,400.0,812.0,8000.0,
246,1981,GREECE,38.209,23.288,0.0,0.0,0.0,,,
247,1981,SOUTH AFRICA,-35.616,20.267,0.0,0.0,0.0,,,
248,1981,NEW ZEALAND,-48.786,164.357,0.0,0.0,0.0,,,
249,1981,SAMOA,-14.96,-173.085,0.0,0.0,0.0,,,
250,1981,INDONESIA,-6.102,105.423,0.0,0.0,0.0,,,
251,1981,MEXICO,18.084,-102.084,3.0,0.0,28.0,,,
252,1982,PHILIPPINES,13.752,124.358,0.0,0.0,0.0,,,
253,1982,INDONESIA,4.374,97.755,0.0,0.0,0.0,,,
254,1982,INDONESIA,-9.265,118.479,0.0,0.0,0.0,,,
255,1982,JAPAN,42.158,142.361,110.0,0.0,100.0,1.0,,
256,1982,JAPAN,36.194,141.702,0.0,0.0,0.0,,,
257,1982,TONGA,-24.133,-175.864,0.0,0.0,0.0,,,
258,1982,INDONESIA,-8.405,123.08,13.0,0.0,390.0,1.45,1875.0,
259,1982,JAPAN,33.826,139.434,0.0,0.0,0.0,,,
